ISBN 13,Title of the Book,Author/s,Book type,Original Price (RRP)($),Discounted price($),ISBN-10,Published Date,Publisher,No. of Pages
9780007461240,The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,Paperback,19.99,18.25,7461240,2012-07-01,HarperCollins Publishers,224
9780307762528,book not found,,,,,,,,
9780743422277,Star Trek,Diane Duane,ePUB,5.99,,743422279,2001-12-03,Pocket Books/Star Trek,256
9780241290002,book not found,,,,,,,,
9780061763403,book not found,,,,,,,,
9780463983096,Across the Seas,Griff Hosker,ePUB,9.19,,463983092,2019-03-04,Griff Hosker,
9780241365984,American Royals,Katharine McGee,ePUB,9.99,,241365988,2019-09-01,Penguin Random House Children's UK,368
9781322117171,book not found,,,,,,,,
9780141911717,Homage to Catalonia,George Orwell,ePUB,15.99,,141911719,2003-06-05,Penguin Books Ltd,272
9780141930169,The Twits,Roald Dahl,ePUB,9.99,,141930160,6th September 2007,Penguin Random House Children's UK,112
9781250316783,"Red, White & Royal Blue",Casey McQuiston,ePUB,,,1250316782,14th May 2019,St. Martin's Publishing Group,
9780748115358,The Great Hunt,Robert Jordan,ePUB,11.99,,748115358,2009-11-17,"Little, Brown Book Group",736
9780141342436,Magnus Chase and the Sword of Summer (Book 1),Rick Riordan,ePUB,9.99,,141342439,6th October 2015,Penguin Random House Children's UK,528
9780141903125,Boy,Roald Dahl,ePUB,9.99,,141903120,2008-09-04,Penguin Random House Children's UK,192
9780141928685,Angels,Marian Keyes,ePUB,15.99,,141928689,31st March 2005,Penguin Books Ltd,496
9780755386390,The Lost (Paula Maguire 1),Claire McGowan,ePUB,11.99,,755386396,2013-04-11,Headline,305
9780230739673,book not found,,,,,,,,
9781310517228,Anxiety,Joshua Fletcher,ePUB,9.38,,1310517223,2016-03-22,Joshua Fletcher,
9780698137653,George Washington's Secret Six,Brian Kilmeade,ePUB,23.99,19.9917%OFF,698137655,2013-11-05,Penguin Publishing Group,288
9780956308641,Driving Over Lemons,Chris Stewart,ePUB,,,956308643,8th August 2011,Sort Of Books,304
9781405921107,Jamie's Food Tube,Gennaro Contaldo,ePUB,14.99,,1405921102,2nd July 2015,Penguin Books Ltd,128
9780575087057,The Name of the Wind,Patrick Rothfuss,ePUB,12.99,,575087056,2010-04-22,Orion,672
9780440336358,Darkfever,Karen Marie Moning,ePUB,14.66,11.9918%OFF,044033635X,31st October 2006,Random House Publishing Group,
9780755332557,Kiss,Jill Mansell,Paperback,26.99,26.5,755332555,2007-05-10,Headline,512
9780470901038,Business Model Generation,Alexander Osterwalder,PDF,45.09,,470901039,2010-07-23,Wiley Professional Development (P&T),288
9780698185890,book not found,,,,,,,,
9780857202994,The Night Stalker,Chris Carter,ePUB,12.99,,857202995,18th August 2011,Simon & Schuster UK,464
9780446539654,The Jury Master,Robert Dugoni,ePUB,17.99,,446539651,2008-07-15,Grand Central Publishing,300
9781310869686,"The Dragon's Mountain, Book One",Mark Mulle,ePUB,,,1310869685,19th May 2015,Mark Mulle,
9780241242643,book not found,,,,,,,,
9780748109265,Blow Fly,Patricia Cornwell,ePUB,11.99,,748109269,4th September 2008,"Little, Brown Book Group",544
9780241980750,The Sapphire Widow,Dinah Jefferies,ePUB,15.99,,241980755,2018-04-05,Penguin Books Ltd,400
9780330469364,Aftermath,Peter Robinson,ePUB,,,330469363,4th September 2008,,
9780241379011,Couples That Work,Jennifer Petriglieri,ePUB,18.99,,241379016,2019-10-10,Penguin Books Ltd,304
9780575088436,Time of Contempt,Andrzej Sapkowski,ePUB,4.99,,575088435,2013-06-24,Orion,320
9781405927697,Typhoon Fury,Clive Cussler,ePUB,15.99,,1405927690,2017-11-16,Penguin Books Ltd,480
9780755350841,The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,ePUB,12.99,,755350847,2008-09-04,Headline,448
9781101117996,The Divine Comedy,Dante Alighieri,ePUB,22.29,17.9919%OFF,1101117990,2003-05-27,Penguin Publishing Group,928
